,Date,Open*,High,Low,Close**,Volume,Market Cap
147,"Feb 21, 2016",437.77,448.05,429.08,438.80,"89,820,704","6,686,294,225"
148,"Feb 14, 2016",392.93,407.23,392.93,407.23,"74,469,800","6,194,711,495"
149,"Feb 07, 2016",376.51,380.87,374.90,376.62,"37,076,300","5,718,023,735"
150,"Jan 31, 2016",378.29,380.35,367.83,368.77,"37,894,300","5,587,253,351"
151,"Jan 24, 2016",388.10,405.48,387.51,402.97,"54,824,800","6,093,787,908"
152,"Jan 17, 2016",387.15,390.96,380.09,382.30,"45,319,600","5,770,478,451"
153,"Jan 10, 2016",448.24,448.31,440.35,447.99,"35,995,900","6,750,440,386"
154,"Jan 03, 2016",433.58,433.74,424.71,430.01,"39,633,800","6,467,429,942"
155,"Dec 27, 2015",416.51,424.01,408.88,422.82,"53,591,200","6,348,296,234"
156,"Dec 20, 2015",462.23,462.64,434.34,442.68,"75,409,400","6,633,988,873"
157,"Dec 13, 2015",431.66,441.68,426.27,433.76,"55,050,600","6,487,293,999"
158,"Dec 06, 2015",389.55,402.81,387.09,388.78,"77,762,000","5,803,305,524"
159,"Nov 29, 2015",357.47,371.94,355.67,371.29,"40,409,300","5,531,872,177"
160,"Nov 22, 2015",326.98,327.01,321.26,324.54,"23,439,400","4,826,466,938"
161,"Nov 15, 2015",333.05,334.66,317.49,320.17,"44,213,100","4,752,464,063"
162,"Nov 08, 2015",384.28,389.89,368.70,373.37,"51,817,600","5,532,072,311"
163,"Nov 01, 2015",315.01,327.47,311.88,325.43,"37,001,100","4,813,287,206"
164,"Oct 25, 2015",281.45,294.06,281.45,283.68,"45,717,100","4,188,180,600"
165,"Oct 18, 2015",270.91,271.67,260.78,261.64,"22,434,300","3,856,061,829"
166,"Oct 11, 2015",244.74,247.24,244.15,247.05,"16,827,300","3,634,686,068"
167,"Oct 04, 2015",238.53,238.97,237.94,238.26,"12,999,000","3,499,387,367"
168,"Sep 27, 2015",234.14,234.53,232.48,232.76,"14,179,900","3,412,467,834"
169,"Sep 20, 2015",231.40,232.37,230.91,231.21,"14,444,700","3,383,764,499"
170,"Sep 13, 2015",235.24,235.93,229.33,230.51,"18,478,800","3,367,774,557"
171,"Sep 06, 2015",234.87,242.91,234.68,239.84,"25,473,700","3,497,748,612"
172,"Aug 30, 2015",229.90,232.07,226.25,228.76,"19,412,600","3,330,085,315"
173,"Aug 23, 2015",230.38,232.71,225.58,228.17,"18,406,600","3,315,466,697"
174,"Aug 16, 2015",261.87,262.44,257.04,258.51,"29,717,000","3,749,501,856"
175,"Aug 09, 2015",261.12,267.00,260.47,265.08,"23,789,600","3,838,130,130"
176,"Aug 02, 2015",280.45,283.03,277.53,282.61,"17,722,200","4,084,832,103"
177,"Jul 26, 2015",288.64,293.05,287.71,292.69,"16,032,300","4,222,888,242"
178,"Jul 19, 2015",274.77,275.67,272.51,273.61,"15,332,500","3,940,581,988"
179,"Jul 12, 2015",293.14,314.39,292.51,310.87,"56,405,000","4,469,117,252"
180,"Jul 05, 2015",260.80,274.51,258.70,271.91,"44,156,100","3,901,985,539"
181,"Jun 28, 2015",250.96,251.17,247.43,249.01,"15,137,600","3,566,939,394"
182,"Jun 21, 2015",245.10,245.22,241.88,243.94,"10,600,900","3,488,106,467"
183,"Jun 14, 2015",232.44,234.86,232.00,233.54,"12,165,900","3,333,657,006"
184,"Jun 07, 2015",225.60,226.19,222.65,222.88,"13,318,400","3,175,547,196"
185,"May 31, 2015",233.13,233.25,229.54,230.19,"14,730,800","3,273,756,425"
186,"May 24, 2015",238.98,241.98,238.81,240.95,"11,508,000","3,420,845,884"
187,"May 17, 2015",236.01,238.02,236.01,236.80,"11,134,300","3,356,176,986"
188,"May 10, 2015",241.73,244.07,238.85,240.30,"15,019,100","3,399,245,238"
189,"May 03, 2015",234.88,243.24,234.08,240.36,"18,494,100","3,394,161,416"
190,"Apr 26, 2015",226.41,226.94,214.87,219.43,"28,943,700","3,093,216,938"
191,"Apr 19, 2015",223.46,226.35,222.37,222.60,"15,021,500","3,132,226,860"
192,"Apr 12, 2015",236.54,237.73,233.49,236.15,"12,387,900","3,317,129,018"
193,"Apr 05, 2015",253.76,260.67,251.94,260.60,"19,649,200","3,654,268,030"
194,"Mar 29, 2015",252.74,253.14,240.85,242.71,"21,699,400","3,397,187,115"
195,"Mar 22, 2015",259.92,269.75,259.59,267.96,"18,438,100","3,743,193,531"
196,"Mar 15, 2015",281.42,286.53,281.00,286.39,"11,970,100","3,993,628,668"
197,"Mar 08, 2015",276.43,277.86,272.57,274.35,"22,067,900","3,818,877,362"
198,"Mar 01, 2015",254.28,261.66,245.93,260.20,"25,213,700","3,615,181,538"
199,"Feb 22, 2015",244.54,246.39,233.85,235.98,"19,527,000","3,272,629,326"
